﻿Title:,"Table 11 - HE student enrolments by domicile and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2017/18"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Domicile marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"","Region of HE provider"
"Domicile","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","The Open University in England","England"
"Aberdeenshire","70","55","40","25","75","45","70","60","40","0","480"
"Abertawe - Swansea","35","140","80","120","195","65","275","310","565","0","1,790"
"Angus","35","25","10","10","20","0","20","15","15","0","145"
"Antrim and Newtownabbey","95","270","60","45","50","35","75","70","60","0","755"
"Argyll and Bute","20","20","15","10","25","10","25","35","15","0","180"
"Armagh, Banbridge and Craigavon","110","445","75","65","85","55","110","95","115","0","1,160"
"Bath and North East Somerset","105","235","225","175","270","125","505","700","2,215","340","4,895"
"Bedford","115","230","295","910","470","1,465","605","455","240","375","5,160"
"Belfast","240","775","140","90","95","90","230","165","140","0","1,970"
"Blackburn with Darwen","100","2,710","445","110","125","25","125","70","35","160","3,905"
"Blackpool","65","2,000","225","65","75","20","70","65","20","180","2,780"
"Blaenau Gwent - Blaenau Gwent","5","25","15","15","35","5","25","45","90","0","255"
"Bournemouth","30","100","85","110","155","95","355","1,090","1,955","505","4,480"
"Bracknell Forest","40","70","95","170","180","130","505","1,040","405","250","2,885"
"Brighton and Hove","85","295","285","220","215","290","1,320","4,360","580","675","8,330"
"Bro Morgannwg - The Vale of Glamorgan","50","165","70","120","185","50","190","290","540","0","1,665"
"Buckinghamshire","465","775","970","1,625","1,525","1,295","2,630","4,770","1,850","1,030","16,935"
"Caerdydd - Cardiff","85","365","180","265","430","140","540","660","1,320","0","3,980"
"Caerffili - Caerphilly","15","80","35","65","120","20","80","160","340","0","910"
"Cambridgeshire","650","735","1,555","2,035","1,105","5,340","2,085","1,685","950","1,725","17,870"
"Casnewydd - Newport","30","135","50","120","200","55","165","215","565","0","1,540"
"Castell-Nedd Port Talbot - Neath Port Talbot","10","60","30","55","80","25","75","110","205","0","660"
"Causeway Coast and Glens","170","430","70","45","75","50","85","75","70","0","1,075"
"Central Bedfordshire","150","330","435","1,155","555","1,795","725","835","410","620","7,010"
"Cheshire East","420","3,860","1,645","855","1,355","180","465","425","435","575","10,215"
"Cheshire West and Chester","365","4,615","1,125","475","565","125","360","310","325","555","8,815"
"City of Aberdeen","75","70","50","35","45","35","130","80","50","0","565"
"City of Bristol","145","515","440","320","515","300","980","910","6,185","950","11,260"
"City of Derby","105","380","840","3,680","695","110","225","155","145","360","6,690"
"City of Dundee","25","35","20","20","20","10","45","25","10","0","205"
"City of Edinburgh","325","185","190","110","125","170","420","235","215","5","1,975"
"City of Glasgow","90","150","90","70","105","70","230","120","55","0","980"
"City of Kingston upon Hull","230","305","3,975","270","105","55","135","100","45","330","5,555"
"City of Leicester","90","365","580","5,940","1,380","255","620","230","150","475","10,085"
"City of Nottingham","110","405","720","4,710","525","130","345","175","120","550","7,785"
"City of Plymouth","55","135","85","130","245","100","300","400","4,535","535","6,520"
"City of Portsmouth","30","95","85","110","135","130","360","2,985","510","520","4,960"
"City of Southampton","45","120","80","115","185","120","425","3,020","630","475","5,215"
"City of Stoke-on-Trent","30","810","185","460","3,315","45","120","90","75","350","5,485"
"City of York","695","590","2,705","295","215","115","290","200","155","335","5,600"
"Clackmannanshire","10","5","5","5","5","10","15","10","5","0","70"
"Conwy - Conwy","50","905","165","120","145","30","85","85","85","0","1,665"
"Cornwall","130","335","290","320","745","235","985","1,220","6,410","1,030","11,705"
"County Durham","7,315","750","1,280","340","250","180","305","235","125","710","11,490"
"Cumbria","1,485","5,280","1,140","365","375","150","365","340","200","680","10,380"
"Darlington","1,555","210","465","110","65","35","85","60","30","185","2,795"
"Derbyshire","630","2,010","4,325","6,140","1,490","315","485","535","555","1,220","17,705"
"Derry and Strabane","165","715","90","60","45","45","130","60","75","0","1,390"
"Devon","285","605","540","600","1,140","400","1,460","2,020","8,415","1,765","17,240"
"Dorset","150","265","230","320","450","275","900","2,205","3,715","1,015","9,525"
"Dumfries and Galloway","40","165","25","25","55","15","30","35","25","0","410"
"East Ayrshire","10","20","10","10","10","5","10","10","0","0","85"
"East Dunbartonshire","20","35","25","15","20","20","55","25","20","0","230"
"East Lothian","45","30","25","10","40","15","30","35","30","0","260"
"East Renfrewshire","15","35","20","20","20","10","35","20","15","0","195"
"East Riding of Yorkshire","775","770","4,770","715","375","140","325","205","130","490","8,695"
"East Sussex","260","370","440","530","445","485","1,955","6,055","1,235","1,190","12,965"
