﻿Title:,"Table 11 - HE student enrolments by domicile and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2017/18"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Domicile marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"","Region of HE provider"
"Domicile","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","The Open University in England","England"
"Aberdeenshire","70","50","35","30","65","40","85","55","50","0","475"
"Abertawe - Swansea","30","145","70","125","210","60","280","310","635","0","1,865"
"Angus","35","20","15","10","10","5","30","10","15","0","150"
"Antrim and Newtownabbey","105","320","55","45","55","35","65","75","65","0","810"
"Argyll and Bute","15","15","15","15","25","10","20","30","15","0","150"
"Armagh, Banbridge and Craigavon","125","475","75","70","95","65","115","105","110","0","1,230"
"Bath and North East Somerset","100","260","220","185","270","130","480","725","2,210","330","4,905"
"Bedford","110","220","295","970","465","1,410","535","480","240","330","5,065"
"Belfast","245","865","135","105","100","90","215","170","155","0","2,085"
"Blackburn with Darwen","105","2,765","465","110","130","30","105","70","35","160","3,970"
"Blackpool","65","1,980","210","75","70","20","75","55","25","185","2,765"
"Blaenau Gwent - Blaenau Gwent","5","25","10","20","40","5","25","50","95","0","275"
"Bournemouth","35","95","85","115","165","90","360","1,090","1,900","480","4,415"
"Bracknell Forest","40","75","105","150","170","130","515","1,035","400","230","2,840"
"Brighton and Hove","95","310","300","240","230","275","1,265","4,235","665","600","8,220"
"Bro Morgannwg - The Vale of Glamorgan","50","155","75","120","200","45","190","305","585","0","1,730"
"Buckinghamshire","480","745","980","1,685","1,500","1,250","2,650","4,840","1,965","985","17,085"
"Caerdydd - Cardiff","85","360","160","255","460","145","545","650","1,290","0","3,945"
"Caerffili - Caerphilly","15","90","35","75","135","20","70","160","380","0","970"
"Cambridgeshire","675","735","1,590","2,120","1,070","5,220","2,005","1,720","970","1,580","17,685"
"Casnewydd - Newport","30","130","60","125","195","55","165","215","615","0","1,585"
"Castell-Nedd Port Talbot - Neath Port Talbot","10","55","25","55","95","15","70","100","230","0","665"
"Causeway Coast and Glens","175","475","70","60","80","40","80","70","80","0","1,125"
"Central Bedfordshire","140","315","420","1,135","550","1,690","710","815","420","600","6,795"
"Cheshire East","390","3,780","1,680","870","1,460","175","445","385","440","520","10,145"
"Cheshire West and Chester","355","4,480","1,150","525","570","125","325","310","345","555","8,735"
"City of Aberdeen","65","75","45","40","50","40","110","75","50","0","555"
"City of Bristol","155","540","450","320","565","280","990","920","6,455","855","11,530"
"City of Derby","85","400","775","3,815","725","125","215","165","150","330","6,780"
"City of Dundee","20","30","15","20","25","5","45","20","10","0","190"
"City of Edinburgh","330","175","195","110","120","155","445","250","220","0","2,005"
"City of Glasgow","95","150","80","60","105","65","260","120","65","0","990"
"City of Kingston upon Hull","190","305","3,965","230","115","55","120","90","40","305","5,415"
"City of Leicester","80","335","565","6,325","1,440","250","590","255","160","470","10,470"
"City of Nottingham","120","425","765","4,810","530","120","335","190","125","560","7,980"
"City of Plymouth","60","140","95","140","235","90","280","380","4,535","500","6,460"
"City of Portsmouth","40","105","80","110","140","115","370","2,955","460","480","4,855"
"City of Southampton","50","130","80","110","170","140","450","3,040","610","490","5,275"
"City of Stoke-on-Trent","30","770","195","455","3,330","55","105","90","70","355","5,455"
"City of York","670","620","2,625","300","225","110","280","205","150","315","5,500"
"Clackmannanshire","10","5","5","5","5","5","10","5","5","0","60"
"Conwy - Conwy","50","945","165","115","140","25","85","80","85","0","1,690"
"Cornwall","120","340","275","315","685","205","875","1,200","6,550","990","11,555"
"County Durham","7,190","760","1,265","330","260","175","300","245","130","695","11,345"
"Cumbria","1,465","5,070","1,055","340","365","145","335","335","200","665","9,975"
