uni_name,local_authority,county,postcode,region
University of Winchester,Hampshire,Hampshire,SO22 4NR,South East
University of Sunderland,Sunderland,Tyne and Wear,SR1 3SD,North East
Staffordshire University,Staffordshire,Staffordshire,ST18 0AD,West Midlands
University of Keele,Staffordshire,Staffordshire,ST5 5BG,West Midlands
Roehampton University,Wandsworth,NA,SW15 5PJ,London
St George's Hospital Medical School,Wandsworth,NA,SW17 0RE,London
"Imperial College of Science, Technology and Medicine",Kensington and Chelsea,NA,SW7 2AZ,London
Royal College of Music,Kensington and Chelsea,NA,SW7 2BS,London
Royal College of Art,Kensington and Chelsea,NA,SW7 2EU,London
Institute of Cancer Research,Kensington and Chelsea,NA,SW3 6JB,London
Harper Adams University,Telford and Wrekin,Shropshire,TF10 8NB,West Midlands
Teesside University,Middlesbrough,NA,TS1 3BA,North East
"St Mary's University, Twickenham",Richmond upon Thames,NA,TW1 4SX,London
Royal Holloway and Bedford New College,Surrey,Surrey,TW20 0EX,South East
Brunel University,Hillingdon,NA,UB8 3PH,London
University of Westminster,Westminster,NA,W1B 2UW,London
The Royal College of Nursing,Westminster,NA,W1G 0RN,London
University of the Arts London,Camden,NA,WC1V 7EY,London
University of West London,Ealing,NA,W5 5RF,London
University College London,Camden,NA,WC1E 6BT,London
London School of Hygiene & Tropical Medicine,Camden,NA,WC1E 7HT,London
University of London,Camden,NA,WC1E 7HU,London
Birkbeck College,Camden,NA,WC1E 7HX,London
Institute of Education,Camden,NA,WC1H 0AL,London
School of Oriental and African Studies,Camden,NA,WC1H 0XG,London
Conservatoire for Dance and Drama,Camden,NA,WC1H 0JJ,London
London School of Economics and Political Science,Westminster,NA,WC2A 2AE,London
University of Worcester,Worcestershire,Worcestershire,WR2 6AJ,West Midlands
University of Wolverhampton,Wolverhampton,West Midlands,WV1 1LY,West Midlands
University of York,York,North Yorkshire,YO10 5DD,Yorkshire and the Humber
York St John University,York,North Yorkshire,YO31 7EX,Yorkshire and the Humber
Courtauld Institute of Art,Tower Hamlets,NA,WC2R 0RN,London
University of Cumbria,Cumbria,Cumbria,CA3 8TB,North West
Heythrop College,Kensington and Chelsea,NA,W8 5HQ,London
Guildhall School of Music and Drama,City of London,NA,EC2Y 8DT,London
Liverpool Institute of Performing Arts,Liverpool,Merseyside,L1 9HF,North West
University of Buckingham,Buckinghamshire,Buckinghamshire,MK18 1EG,South East
